Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
193.17,371.13,22.83,1.571,46,13,0,0,0,0,0,10,178,4,0,0,0,0,0,32,162,0,0,0,0,0,0,8,1,0,0,0,2,1,0,0,86,23,0,0,0,0,0,3,178,17,0,0,0,0,0,48,164,3,0,0,0,0,0,24,1,0,0,0,5,0,0,0,93,19,0,0,0,0,0,6,178,62,0,0,0,0,0,38,157,17,0,0,0,0,0,13,1,0,0,2,6,0,0,0,97,7,0,0,0,0,0,20,178,2,0,0,0,0,0,80,95,1,0,2,0,0,0,24,0,0,0,10,3,0,0,0
331.15,543.32,18.86,1.099,15,105,32,1,0,0,0,0,54,92,12,0,0,0,0,5,123,138,0,0,0,1,0,3,140,140,0,0,0,0,0,0,81,19,3,1,3,2,3,18,140,23,1,0,0,0,1,40,59,41,10,1,1,14,11,22,140,140,1,0,0,1,1,1,59,26,2,0,0,0,1,19,123,91,20,0,0,0,0,7,12,60,91,2,0,1,1,1,101,140,12,0,0,0,0,0,9,66,9,0,0,0,0,0,14,110,8,0,0,0,0,0,2,26,20,0,0,0,0,0,1,12,2,0,0,0,0,0
253.43,525.48,21.01,1.512,47,67,0,0,0,0,0,2,68,29,0,0,0,1,1,14,194,50,0,0,0,0,0,83,95,9,0,0,0,0,0,22,73,14,0,0,0,0,2,74,122,17,0,0,1,3,4,33,194,22,0,0,0,0,0,38,102,4,1,4,0,0,0,8,65,30,5,0,0,0,2,48,92,25,9,0,4,9,5,22,194,30,0,0,0,0,0,17,96,17,5,6,0,0,0,0,22,35,6,0,0,0,0,0,59,45,7,0,0,0,0,2,194,16,0,0,0,0,0,5,50,7,2,3,0,0,0,0
236.15,239.2,21.35,1.502,11,6,0,0,0,0,0,8,90,1,0,0,0,0,1,15,202,8,0,0,0,0,0,24,90,2,0,0,0,2,0,3,17,2,0,0,1,1,0,10,116,21,1,0,2,2,1,14,202,28,0,0,0,0,0,39,105,2,0,0,0,0,0,8,15,28,0,0,0,0,0,0,102,29,0,0,1,2,3,32,202,41,0,0,0,0,0,30,114,9,0,0,0,0,0,1,19,35,1,0,0,0,0,0,86,44,2,0,0,0,0,5,202,38,0,0,0,0,0,39,87,3,0,0,0,0,0,10
201.21,471.74,19.79,1.411,78,31,0,0,0,0,0,2,170,143,0,0,0,0,0,5,75,37,0,0,0,0,0,1,0,0,0,0,3,0,0,0,53,31,0,0,0,0,1,8,170,72,0,0,0,0,0,59,163,17,0,0,0,0,0,23,0,0,0,5,4,0,0,0,67,20,0,0,0,1,1,17,170,74,0,0,0,0,0,11,169,28,1,2,0,0,0,3,0,0,0,14,3,0,0,0,25,10,5,0,1,6,3,13,170,56,0,0,0,1,0,4,152,47,2,2,0,0,0,0,0,1,2,17,0,0,0,0
337.09,417,11.87,2.015,69,9,0,0,0,0,1,62,132,9,0,0,0,0,0,66,92,2,0,10,8,0,0,65,14,2,3,18,12,0,1,17,120,105,11,4,0,0,0,12,132,39,1,0,0,0,0,115,65,7,4,5,22,5,4,50,6,1,3,5,10,7,9,11,127,36,3,0,0,0,9,90,132,118,5,0,0,0,0,35,98,56,14,4,6,5,13,37,25,7,1,14,33,30,21,17,11,0,0,0,0,0,34,132,95,16,0,0,0,0,34,126,132,10,2,10,7,0,1,61,14,5,2,32,53,9,16,49
225.51,328.02,13.1,1.395,13,4,0,0,0,3,11,15,152,29,0,0,0,0,1,64,152,76,0,0,0,0,0,6,23,9,0,0,0,0,0,0,13,28,11,5,0,0,0,1,111,152,12,1,0,0,0,13,152,89,0,0,0,0,0,16,62,3,0,0,0,0,0,2,15,9,4,8,6,0,0,1,152,27,3,2,1,0,0,41,152,34,0,0,0,0,0,72,48,5,0,0,0,0,0,6,7,2,0,2,2,2,2,3,118,68,4,0,0,0,0,4,152,152,6,0,0,0,0,2,46,63,0,0,0,0,0,0
215.02,536.9,13.25,1.519,36,8,1,4,5,1,0,6,176,37,0,0,0,0,0,54,139,14,0,0,0,0,0,29,0,0,0,2,0,0,0,0,42,11,2,12,19,4,0,5,176,47,1,1,0,0,0,58,176,16,0,0,0,0,0,25,0,0,1,6,0,0,0,0,41,2,3,2,17,29,5,11,176,67,0,0,0,2,2,33,171,46,2,1,0,0,0,6,0,0,5,8,0,0,0,0,30,19,5,0,0,2,2,12,176,25,0,0,0,0,1,49,157,19,2,1,0,0,0,11,0,1,6,7,0,0,0,0
331.65,29.64,9.09,1.421,0,0,0,0,0,0,6,11,1,0,0,0,0,0,18,42,43,0,0,0,0,0,24,54,49,0,0,0,4,3,0,15,11,0,0,0,0,1,80,129,62,4,0,0,0,0,104,129,74,0,0,0,0,8,129,129,101,0,0,1,23,16,8,65,26,3,0,0,5,24,94,94,129,74,0,0,3,12,17,71,92,23,0,0,0,13,46,95,36,1,0,0,20,40,12,80,15,0,0,0,17,61,41,50,129,9,0,0,10,37,18,113,92,5,0,0,1,9,14,112,37,7,0,0,19,19,3,17
331.65,29.64,9.09,0.401,3,3,0,0,0,0,0,0,52,125,14,0,0,1,2,8,38,99,6,0,0,13,30,8,11,11,0,0,0,13,84,10,48,9,0,0,0,0,0,8,125,63,4,0,0,0,1,103,100,81,16,0,0,0,6,57,43,63,14,0,0,2,14,5,110,28,0,0,0,0,0,16,125,125,52,0,0,0,1,16,32,125,125,0,0,0,4,8,69,125,13,0,0,0,6,8,90,7,0,0,0,0,0,30,120,34,7,0,0,0,13,59,30,60,16,0,0,9,73,44,43,125,8,0,0,0,25,40
