Y,X,scale,angle,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128
267.58,164.27,64.36,-1.334,19,12,9,0,0,6,6,7,159,37,17,1,2,5,5,73,99,3,0,24,155,27,2,31,0,0,3,19,56,27,7,0,23,3,1,25,36,40,10,12,159,39,7,13,20,24,9,108,103,12,9,47,159,40,2,32,0,0,4,23,116,16,0,0,13,18,9,79,26,1,0,0,159,159,36,30,8,0,0,8,26,91,59,77,71,9,2,1,0,2,0,5,40,18,4,0,0,0,0,0,0,0,0,0,4,18,1,0,0,0,0,0,1,15,4,0,0,0,0,0,0,2,0,0,0,0,0,0
507.45,691.63,25.51,3.089,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,13,34,0,0,0,0,0,0,0,32,6,0,0,0,0,0,2,5,2,5,8,0,0,21,70,122,28,40,38,1,3,118,122,122,4,1,2,23,59,6,12,122,36,4,18,69,18,0,0,0,0,8,22,5,1,36,8,12,8,59,122,111,19,122,122,21,4,3,39,115,111,18,42,43,92,42,21,46,31,0,3,9,0,0,1,3,1,6,40,115,3,1,51,71,20,18,65,66,9,8,26,100,63,12,11,10,15,58,20,35,35
507.45,691.63,25.51,-1.84,0,0,0,1,0,0,0,0,1,1,3,19,1,0,0,0,10,3,2,4,0,0,0,3,0,0,0,0,0,0,0,0,69,10,1,38,85,16,5,9,29,20,36,127,108,13,30,12,127,43,19,23,1,0,17,39,11,0,0,0,0,0,0,1,113,15,2,24,110,80,16,30,35,5,2,36,122,112,127,127,127,23,1,1,20,54,126,103,50,9,0,0,0,0,0,3,40,11,34,19,26,43,16,26,36,65,59,29,31,51,23,50,70,84,16,15,83,38,8,11,44,41,0,0,2,0,0,0
524.45,145.16,18.51,2.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,7,6,1,1,15,1,0,0,1,23,35,10,0,1,5,4,8,25,118,73,8,8,2,1,118,90,113,7,0,0,4,57,50,20,8,22,85,10,18,71,4,22,26,11,11,31,118,66,23,12,45,44,33,118,118,45,118,104,44,5,2,22,102,101,31,47,92,94,39,7,10,28,32,35,36,9,16,22,49,46,32,13,14,10,24,53,90,86,18,18,38,75,30,41,100,47,6,15,31,44,24,7,6,3
357.54,237.91,18.61,1.55,45,25,12,15,41,35,11,19,46,44,8,8,49,38,3,4,121,100,3,1,2,6,16,38,11,11,1,15,26,23,36,11,33,44,18,11,14,18,27,47,26,32,8,13,121,87,24,11,121,121,3,1,24,7,4,37,72,29,2,14,82,50,11,28,75,78,30,28,17,6,1,15,39,23,21,43,105,60,15,28,121,47,15,5,13,16,15,121,71,78,49,27,88,29,4,23,38,38,34,18,28,11,6,8,69,25,64,76,7,4,2,20,121,35,17,12,6,13,6,51,39,39,19,14,19,16,4,14
93.72,248.68,19.85,-1.421,0,0,9,26,12,41,11,1,24,32,26,12,6,21,29,82,83,66,10,3,7,1,4,97,30,20,7,9,11,5,6,22,0,1,13,29,33,123,8,0,38,77,107,27,48,84,3,6,124,124,34,2,1,2,1,32,47,30,13,0,0,1,6,51,0,0,0,25,107,89,3,0,36,6,6,18,94,124,44,36,124,47,11,0,1,13,25,83,53,62,30,0,0,0,0,18,0,0,1,32,124,13,0,0,31,22,35,27,49,14,10,8,123,22,7,0,1,9,21,50,68,15,3,0,1,7,26,85
69.51,577.74,20.8,1.556,18,26,42,39,66,54,21,20,34,8,4,4,127,63,5,20,127,0,0,0,11,6,13,76,18,0,0,0,0,0,7,25,7,2,13,22,100,103,35,30,27,8,14,50,127,49,8,20,127,43,0,6,28,6,1,22,52,5,0,0,0,0,0,4,5,3,15,27,127,64,23,6,10,3,10,30,125,109,38,19,127,19,0,4,19,20,8,70,51,3,0,0,0,0,0,4,52,24,4,4,46,59,17,10,5,13,5,44,127,43,11,1,114,106,8,19,29,1,0,6,32,16,0,0,0,0,0,0
69.51,577.74,20.8,-1.557,0,0,0,0,35,16,0,0,30,1,0,5,117,106,9,22,125,35,7,0,4,13,5,56,48,47,12,9,58,29,4,6,0,0,0,7,56,2,0,0,24,22,8,75,125,16,0,6,125,109,41,17,7,3,8,28,113,66,24,7,9,4,14,25,0,0,0,6,66,5,0,0,38,8,1,26,125,36,0,9,125,42,9,19,17,6,19,61,117,90,26,24,4,1,14,26,0,0,8,31,26,0,0,0,23,9,9,71,125,1,0,0,125,57,8,24,28,10,5,4,64,74,24,22,17,20,33,37
447.74,531.18,17.06,-1.341,16,39,19,34,14,18,13,5,17,52,34,31,45,28,11,6,66,11,9,15,28,21,32,107,42,1,2,46,111,41,13,42,12,16,16,40,57,46,39,19,21,50,92,16,39,61,27,7,111,64,33,32,41,4,1,13,85,5,3,65,111,3,2,31,111,27,11,34,26,18,22,39,29,7,3,34,111,91,31,48,105,22,4,38,76,13,12,90,111,6,5,56,74,4,0,33,78,37,17,6,11,12,4,30,15,22,14,31,48,51,18,28,28,31,5,11,79,28,22,51,91,7,3,5,57,23,2,32
448.18,489.1,16.23,1.941,64,31,6,20,32,12,11,48,50,34,61,91,25,18,6,49,16,5,17,63,24,30,25,35,1,1,2,26,20,39,23,7,108,13,4,52,63,3,1,42,69,21,22,102,47,34,4,24,68,86,16,21,20,25,15,51,16,11,3,72,104,41,13,6,67,1,2,26,75,14,10,108,62,28,12,108,108,18,9,15,108,86,40,32,30,7,7,64,22,4,12,51,108,17,23,41,62,1,2,19,80,10,5,58,13,12,2,11,86,53,69,10,41,56,36,9,7,46,34,12,41,29,21,14,10,5,34,66
448.18,489.1,16.23,-1.908,0,22,62,32,12,16,10,1,25,107,49,51,8,9,6,2,31,97,15,13,107,49,0,1,90,100,2,4,48,17,0,0,22,10,24,18,26,50,63,50,48,33,15,18,39,107,71,22,107,57,10,3,41,64,11,22,59,53,5,1,47,107,12,3,65,107,14,26,40,16,7,18,33,45,12,8,69,85,66,15,69,34,29,10,40,45,39,32,43,17,13,5,55,87,45,45,53,50,3,1,41,77,8,2,51,56,73,22,8,6,11,3,56,19,31,25,34,14,8,20,57,43,27,31,81,12,6,25
442.21,639.86,15.8,1.61,115,13,1,4,50,6,1,22,22,5,3,7,89,64,21,15,10,19,8,2,5,38,72,23,19,20,6,0,3,44,20,17,115,80,22,26,58,2,1,18,32,28,40,115,105,11,2,6,115,56,28,32,13,17,11,33,19,5,15,42,52,51,18,24,15,115,75,32,62,2,1,2,50,40,80,109,27,0,1,29,115,60,16,25,12,3,5,57,17,18,16,75,86,10,4,7,2,6,4,5,35,15,54,36,45,9,7,0,0,4,46,115,46,10,15,17,16,4,17,115,14,10,4,50,103,13,5,6
442.21,639.86,15.8,-2.171,12,4,1,12,62,30,20,30,2,0,5,54,116,28,8,9,20,24,3,16,10,11,99,56,80,116,0,0,0,23,47,11,43,53,11,31,67,23,13,11,33,3,0,8,110,116,25,17,116,35,0,0,7,37,74,91,34,43,1,2,46,116,55,15,100,67,8,4,5,17,16,19,39,24,17,11,71,116,41,22,99,52,12,9,15,44,37,42,14,93,27,8,33,72,2,1,46,16,10,9,14,5,7,54,8,30,77,21,28,14,9,2,0,8,47,78,16,13,20,5,12,92,41,29,9,11,12,1
360.12,453.09,15.23,1.754,9,3,6,34,26,32,34,24,8,4,3,25,33,40,34,14,84,87,16,11,7,2,2,29,37,33,22,33,8,5,2,16,54,69,20,12,15,32,29,35,18,15,6,68,127,67,29,4,127,39,5,38,49,5,2,48,71,22,6,42,45,5,3,23,127,87,29,24,20,8,3,46,26,11,16,50,127,64,16,41,127,22,4,14,58,28,23,113,78,21,7,30,54,17,3,32,48,85,48,12,5,16,39,11,63,43,53,38,31,11,20,66,26,21,29,18,37,19,46,127,13,10,14,8,50,34,30,12
360.12,453.09,15.23,-1.464,44,37,38,11,12,9,14,8,38,21,33,126,30,20,34,19,39,12,17,72,60,40,53,40,7,9,29,13,52,96,58,17,49,22,2,29,83,24,10,18,49,32,18,107,126,35,5,12,126,88,14,43,36,9,10,36,31,14,3,40,117,84,30,20,46,4,2,14,76,39,5,36,46,6,2,41,126,54,7,30,126,57,25,4,43,20,5,56,27,47,47,29,40,50,19,9,7,6,2,12,42,24,14,25,7,3,2,28,88,95,24,15,29,22,23,15,22,17,5,16,28,34,40,18,4,2,4,28
306.73,630.74,16.92,1.229,56,53,52,25,9,6,6,34,24,58,39,36,16,11,16,28,63,77,8,5,11,7,38,23,9,7,13,29,39,10,5,7,41,25,20,13,7,47,57,35,38,42,41,114,24,7,14,36,114,114,21,27,18,1,2,25,33,27,11,58,107,10,1,5,61,52,16,38,114,51,27,13,35,30,15,75,78,16,25,52,114,61,19,12,11,2,13,105,34,34,16,19,85,66,7,6,69,61,19,18,51,25,5,39,31,81,16,16,114,51,3,9,44,114,50,24,3,1,0,9,10,58,53,34,9,6,0,0
306.73,630.74,16.92,-2.747,6,54,43,0,0,20,104,18,19,115,61,5,9,20,54,19,39,115,52,22,13,43,45,15,2,2,40,67,25,31,28,12,31,2,0,0,8,37,115,59,18,11,3,24,106,112,67,16,115,52,15,20,32,33,18,31,21,4,18,28,39,53,39,45,20,60,63,7,4,27,45,25,12,57,10,2,47,115,95,15,60,14,2,5,11,82,115,33,44,19,12,12,28,23,52,41,13,35,29,8,6,45,68,7,57,93,7,0,2,17,28,14,11,27,6,26,21,48,50,8,6,3,14,78,41,27,27,9
258.47,336.49,13.41,-1.806,32,112,40,5,17,8,1,0,19,50,21,20,34,28,8,7,11,6,3,7,52,68,10,16,18,4,2,5,28,64,59,44,42,68,10,12,40,29,6,8,117,80,2,0,6,30,18,44,38,9,5,7,81,117,24,32,58,49,26,30,45,26,23,51,40,16,1,2,9,40,22,54,117,75,30,6,5,3,7,62,40,55,22,24,117,83,34,11,51,48,21,21,46,65,55,28,30,12,25,11,0,0,2,27,35,50,38,15,0,1,1,7,117,103,9,1,5,49,61,35,24,14,3,23,107,117,90,23
90.55,446.52,13.7,-1.448,0,0,0,73,86,0,0,0,33,4,0,59,120,0,0,0,144,34,7,17,17,0,0,2,26,31,38,83,50,8,0,0,0,3,84,90,59,0,0,0,44,6,9,51,113,0,0,0,144,26,3,6,17,8,0,5,29,7,5,15,55,109,41,11,0,27,78,30,20,17,0,0,65,16,21,49,33,0,0,4,144,11,1,3,2,1,3,90,34,8,7,6,10,28,73,98,5,7,12,53,18,9,7,24,51,8,7,11,3,3,35,74,144,20,14,4,6,2,6,108,28,59,42,15,19,1,1,13
544.02,238.88,14.13,1.55,0,0,0,0,2,0,0,0,1,0,0,13,139,23,1,0,52,7,1,6,70,33,35,93,48,45,8,1,30,22,17,48,0,0,0,0,1,0,0,0,13,3,2,82,139,5,0,0,139,17,3,32,59,13,7,52,50,11,5,10,60,66,15,40,0,0,0,0,1,0,0,0,17,3,0,11,139,59,0,1,139,94,9,15,77,17,1,22,40,41,29,84,118,21,3,10,0,0,0,0,0,0,0,0,6,2,0,46,139,16,0,0,139,35,2,18,81,9,7,31,42,13,4,21,77,58,15,20
544.02,238.88,14.13,-1.657,75,59,17,19,50,14,4,15,93,10,6,21,138,43,2,14,138,26,0,0,3,2,0,27,0,0,0,0,0,0,0,0,124,26,4,8,34,40,29,72,69,21,1,12,138,117,10,14,138,78,0,0,20,5,0,8,2,0,0,0,0,0,0,0,59,64,16,33,44,15,10,13,47,19,8,39,138,25,3,20,138,9,0,0,22,6,2,66,7,0,0,0,0,0,0,1,26,27,13,33,40,53,14,5,41,32,29,106,63,10,0,3,138,45,4,4,3,1,0,8,11,1,0,0,0,0,0,0
502.3,255.24,12.02,1.663,2,1,1,70,103,0,0,0,109,7,3,26,30,3,9,43,37,4,0,0,58,38,18,35,21,32,14,7,12,9,20,44,20,1,0,50,126,9,0,4,126,15,2,14,22,4,4,84,47,10,8,43,87,50,13,39,40,58,35,12,13,7,11,39,20,5,0,17,126,19,0,1,126,81,10,14,26,3,1,22,29,33,26,123,108,19,2,7,39,64,42,24,20,6,1,49,28,2,0,75,126,0,0,3,126,10,1,8,14,11,11,71,16,5,2,24,92,63,14,17,71,25,12,8,19,9,2,55
489.43,478.05,14.19,1.79,18,6,0,3,24,32,33,38,90,57,26,19,8,5,6,105,22,13,46,119,57,19,6,30,16,11,8,31,16,21,22,30,15,10,2,57,119,20,4,0,119,55,13,25,31,21,7,14,39,15,30,65,41,75,21,28,44,50,35,7,5,21,18,38,21,1,0,53,119,3,1,15,119,17,4,29,39,5,4,60,36,22,18,119,86,7,1,7,82,50,26,13,8,5,6,70,47,3,0,48,117,1,0,25,86,7,1,13,76,23,11,82,16,16,2,27,119,33,32,9,44,72,42,12,2,8,22,13
462.13,346.08,14.13,-1.696,30,35,66,28,11,2,5,12,53,17,24,32,47,18,13,39,101,50,17,39,60,15,17,86,1,1,4,104,115,16,6,3,43,21,13,17,23,3,2,22,46,48,42,95,22,15,9,21,78,114,52,51,53,22,6,15,18,2,5,65,115,56,4,9,8,14,17,23,21,3,23,62,31,15,13,30,44,74,43,44,115,56,14,13,40,38,8,34,39,9,7,17,115,67,4,10,22,15,9,14,12,6,35,115,7,7,4,66,109,37,33,27,77,59,10,15,30,15,12,27,28,9,4,9,99,64,7,11
463.63,272.2,12.56,-1.838,7,12,15,19,14,26,21,40,113,34,4,8,18,53,14,15,80,55,25,17,87,47,7,7,64,10,1,6,113,55,0,2,21,4,3,23,58,29,50,113,27,41,8,36,113,53,16,8,108,78,21,9,28,31,15,31,26,13,1,3,98,113,11,9,27,31,34,42,52,14,21,24,10,2,0,27,79,60,113,19,113,37,7,5,16,29,47,45,22,19,8,13,113,71,5,6,113,42,15,9,3,8,26,22,3,4,16,75,35,29,64,10,16,43,18,37,49,18,9,1,13,36,13,23,65,20,0,0
379.95,315.48,11.46,-2.575,11,28,7,3,10,32,4,1,12,28,45,32,25,14,1,1,72,7,6,8,11,24,64,57,7,13,15,3,24,99,52,16,9,5,0,0,9,65,67,44,30,8,6,25,55,83,9,5,122,44,7,7,7,13,9,63,31,12,9,13,85,121,20,23,29,27,8,8,46,95,93,67,14,1,1,6,122,122,59,23,122,44,26,15,5,24,33,56,24,53,76,60,16,9,4,6,25,53,57,37,23,14,6,4,15,72,33,17,29,73,77,13,7,16,16,23,79,122,49,7,4,46,45,53,32,21,11,1
362.62,187,13.65,1.802,21,10,15,35,83,60,22,34,26,10,15,12,46,26,11,34,43,42,22,2,0,8,31,44,22,34,7,0,23,23,19,42,12,24,55,68,28,18,53,25,14,42,31,33,72,38,18,17,117,117,27,3,5,4,28,55,81,24,0,3,47,56,30,61,12,42,22,29,37,28,82,44,27,12,7,86,117,56,16,12,117,76,7,5,15,3,0,57,83,73,21,18,32,12,4,22,16,41,23,34,28,27,12,38,14,7,5,60,70,81,25,33,117,36,2,3,3,7,33,117,70,22,4,5,50,21,27,117
346.53,712.18,15.1,1.744,119,45,15,20,8,1,4,72,52,36,35,119,92,23,7,34,16,15,59,58,24,31,34,25,60,24,26,15,1,11,27,95,44,17,17,16,7,5,75,119,22,22,20,119,119,41,26,32,119,52,14,44,23,14,36,47,49,37,20,26,6,7,38,98,34,30,104,43,10,5,12,31,39,7,21,108,119,57,5,12,119,60,22,44,19,5,1,19,87,55,38,43,4,1,1,27,4,3,7,0,0,1,0,1,8,2,0,1,35,13,1,1,35,13,2,1,6,0,0,0,19,23,10,3,2,0,0,2
346.53,712.18,15.1,-1.837,0,0,0,0,1,2,0,0,9,21,1,0,3,9,0,0,8,31,5,3,10,7,11,19,3,7,1,2,21,29,46,35,5,0,0,0,17,62,26,17,39,53,3,1,72,115,15,15,115,107,14,20,18,11,12,74,11,4,5,115,94,23,24,57,27,5,3,9,73,68,41,45,44,3,12,23,115,115,27,38,115,78,17,19,32,42,22,37,32,17,9,68,91,81,44,23,41,12,4,49,79,28,28,16,5,6,64,83,69,26,10,17,103,29,24,13,24,15,25,66,79,40,18,18,109,49,24,27
329.6,598.96,12.13,-2.709,11,47,27,9,8,26,31,19,49,116,55,13,7,18,5,13,4,24,112,59,26,38,8,7,1,3,53,84,15,6,6,8,7,5,5,80,64,36,19,6,116,36,10,23,12,19,13,45,39,6,22,21,87,115,20,27,13,1,21,15,18,42,56,66,4,1,0,11,75,116,67,10,116,40,8,8,7,34,84,41,56,28,14,44,97,18,11,23,97,19,3,3,29,31,24,100,10,26,3,3,24,62,60,18,9,12,2,1,4,116,88,24,10,7,6,9,19,50,76,56,30,63,33,13,33,23,14,8
298.55,291.54,12.36,2.351,13,36,66,15,21,6,4,12,10,2,3,8,33,33,104,61,40,2,0,2,2,11,100,115,33,16,2,6,10,10,52,62,39,16,7,2,4,7,104,98,54,18,48,85,18,9,42,85,115,46,33,48,9,10,47,111,23,7,9,115,80,20,48,53,32,20,48,38,29,16,51,34,23,7,22,55,71,39,34,56,115,41,30,83,20,6,18,83,18,13,24,115,34,9,7,3,20,13,48,22,6,3,3,25,43,10,15,18,4,3,13,100,3,1,24,56,53,19,11,36,7,7,12,19,16,27,14,3
291.51,465.52,13.38,1.547,99,24,7,11,17,3,2,25,46,15,3,15,55,18,9,24,62,38,7,4,5,4,14,28,4,3,2,4,42,57,26,11,112,89,4,18,48,11,1,10,79,57,5,33,112,10,2,9,112,91,7,7,17,2,1,31,76,52,17,8,48,64,35,47,112,25,0,4,49,36,11,73,83,23,2,7,99,59,11,42,109,42,41,43,21,16,5,38,53,112,72,58,40,5,1,7,44,15,21,10,14,4,16,112,16,6,25,37,92,24,19,56,11,14,17,13,27,36,83,29,77,10,5,9,5,35,27,24
291.51,465.52,13.38,-1.556,5,35,25,25,74,10,6,11,29,37,83,28,11,15,16,13,88,20,21,56,15,7,31,42,11,3,18,111,44,19,27,11,31,4,1,10,56,111,72,58,29,19,6,43,105,38,38,37,95,54,13,54,87,19,2,9,60,37,16,86,100,14,0,5,35,53,31,53,84,51,14,6,29,2,0,31,111,83,6,10,111,9,2,10,103,58,5,41,57,16,1,10,111,74,3,22,37,45,24,13,5,5,3,4,10,3,12,25,69,37,6,7,56,17,9,33,56,13,3,15,23,2,2,25,95,21,6,16
288.06,46.57,11.7,-0.179,105,74,5,0,0,0,0,29,48,96,79,2,1,15,19,19,40,87,35,3,3,13,31,48,35,30,11,5,29,36,24,14,96,56,1,0,0,0,0,3,117,56,20,1,1,3,31,117,30,62,15,14,23,33,59,49,39,61,24,12,5,5,7,14,88,41,0,0,0,0,3,33,117,117,17,6,1,1,39,117,13,26,25,41,28,11,66,55,13,14,11,18,14,1,25,89,17,10,6,0,0,0,11,79,38,35,70,45,6,7,94,117,1,19,99,77,9,8,60,30,0,26,61,25,29,1,8,13
282.59,254.7,13.25,-1.445,13,14,24,9,3,4,19,37,59,48,15,24,55,15,3,23,34,44,25,41,70,26,5,20,26,29,18,73,45,18,4,17,41,24,31,14,5,15,8,10,129,20,8,7,33,92,24,68,58,10,10,26,92,129,42,61,33,11,15,85,92,26,10,32,46,19,22,9,5,14,51,37,129,68,25,41,23,17,12,21,21,18,26,129,129,52,6,4,8,16,30,122,72,27,1,4,40,25,13,16,8,10,30,32,78,31,9,19,9,10,14,28,11,5,5,33,78,75,23,6,15,3,0,16,115,44,3,5
231.25,538.01,11.8,1.312,108,37,21,31,7,7,2,8,36,112,112,79,26,2,0,2,31,58,34,15,112,112,18,1,7,12,6,0,16,96,95,9,12,19,29,19,36,31,46,35,60,29,15,34,9,44,88,26,112,55,1,0,6,69,32,35,12,1,0,1,65,112,66,8,51,47,23,16,28,13,36,60,28,28,21,2,8,91,107,43,92,18,27,18,19,19,52,70,17,11,39,33,86,53,5,5,31,41,24,15,15,8,13,14,112,50,21,10,12,2,7,19,9,2,9,40,46,13,12,7,13,19,19,22,14,17,5,2
220.16,457.71,12.74,-1.549,21,97,51,15,13,8,1,0,77,119,12,16,74,19,4,6,4,26,22,18,80,32,24,32,26,20,45,14,10,15,19,15,49,17,6,3,13,95,53,23,124,40,3,2,15,76,47,88,18,5,2,25,83,124,90,61,23,13,2,44,101,24,17,19,17,3,5,21,33,41,68,59,124,124,37,26,26,20,21,25,21,58,41,67,103,47,7,2,26,0,0,14,97,73,4,9,18,26,24,26,42,15,1,6,55,60,11,16,36,22,1,12,41,40,27,16,7,5,6,6,7,2,9,20,53,22,4,5
214.13,347.73,14.7,-1.626,28,20,30,26,36,14,24,52,57,109,32,31,61,33,10,10,43,74,43,33,34,19,6,4,27,6,8,17,63,47,5,9,80,64,32,29,62,19,2,8,62,68,13,39,83,53,5,12,109,81,12,10,13,19,27,44,23,5,5,9,86,70,25,33,74,40,10,10,70,30,8,21,49,28,14,14,53,55,32,78,109,57,29,8,23,12,18,109,40,40,20,34,109,51,8,17,53,24,9,12,8,12,22,31,23,17,46,30,4,3,16,50,92,46,42,23,9,17,13,19,109,32,6,9,55,109,50,30
199.37,409.68,12.78,-0.888,28,11,8,1,0,12,40,114,3,3,6,13,31,65,79,27,30,2,1,5,57,89,49,114,53,3,1,28,64,39,28,114,55,56,38,28,8,2,10,49,31,29,43,107,46,15,22,18,114,57,29,33,15,23,21,114,39,21,31,87,105,53,23,62,50,6,17,42,25,3,5,71,52,12,27,67,49,2,8,48,114,47,20,8,4,2,6,82,12,19,31,87,68,10,1,3,10,7,7,30,38,16,35,19,73,7,4,12,15,9,40,96,27,11,14,13,19,26,21,39,3,8,18,56,33,4,4,7
196.87,175.99,12.29,-1.32,104,13,17,9,1,9,14,60,18,49,51,21,2,5,8,12,29,23,39,28,3,8,34,49,87,27,33,7,4,21,48,36,80,10,3,17,15,25,27,53,26,24,25,56,39,34,32,13,120,75,28,17,4,8,37,103,86,24,18,34,27,39,52,45,118,17,2,13,10,7,36,45,14,13,14,18,20,40,120,77,64,39,21,4,1,9,120,120,21,13,23,23,3,15,110,56,72,38,14,0,0,5,11,22,14,60,102,1,1,9,33,25,19,84,109,1,0,3,31,47,7,27,69,34,7,7,16,8
196.87,175.99,12.29,-2.356,10,18,24,39,25,5,5,11,95,61,28,31,18,8,17,77,38,77,45,18,37,30,26,47,59,58,27,8,17,2,3,27,13,14,33,55,38,6,2,6,47,117,95,37,39,10,3,10,117,117,93,24,17,4,2,61,66,11,15,82,39,4,5,67,29,60,22,21,17,9,18,36,32,14,10,7,39,77,34,82,117,41,16,40,5,6,8,117,51,33,39,117,6,0,0,15,28,93,37,11,12,4,8,8,28,117,43,2,11,16,6,24,43,34,49,65,7,1,3,37,17,20,20,57,14,1,11,17
